delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-102,3,1.0,0,0,1,1
2,6,-0.67,0,1,-3,3
19,6,0.25,0,1,-1,1
96,2,1.0,0,0,0,0
50,2,0.25,0,0,0,0
-7,0,0.0,0,0,1,1
22,2,-0.42,0,0,-1,1
-49,0,-0.41,0,0,1,1
-41,0,-1.0,0,1,0,0
-5,1,0,1,0,1,1
9,4,-0.68,0,0,-2,6
71,5,0.67,0,0,-1,1
-87,2,0.0,0,0,1,1
-46,4,-0.33,0,1,1,3
-67,1,-0.14,0,0,0,0
-104,1,0.17,0,1,0,0
-40,4,1.0,0,1,2,2
-7,1,-1.0,0,0,0,0
-37,4,0.08,0,0,0,0
60,0,-0.5,0,0,0,2
-59,1,0.62,0,0,0,2
50,0,-0.52,0,0,0,4
14,7,-1.0,0,1,1,1
-42,1,0.0,0,1,-1,1
9,3,-0.55,0,0,-5,13
-20,2,0.57,0,0,-1,1
7,3,-0.8,0,0,-1,3
60,6,0.0,0,1,-2,4
16,3,0.0,0,0,1,1
-2,0,0,1,1,0,0
6,4,-1.0,0,1,1,1
19,0,0.33,0,0,-1,1
-8,2,-0.33,0,0,-2,2
24,4,0.5,0,0,1,1
-7,2,0.8,0,1,0,2
6,1,0,1,1,0,0
64,0,-0.67,0,1,0,2
-10,1,-0.5,0,0,0,2
-29,1,-0.5,0,0,0,2
-12,1,-0.25,0,0,0,0
2,1,1.0,0,1,0,0
-1,3,0,1,1,0,0
-112,1,0.0,0,1,0,0
-14,6,0.07,0,1,1,1
-90,3,1.0,0,1,1,1
13,3,0,1,0,-1,1
25,2,0.14,0,1,0,0
-29,4,-0.35,0,0,0,0
-17,1,0.35,0,0,-1,1
-94,5,0.0,0,0,0,2
31,1,-0.13,0,1,1,1
-33,1,-1.0,0,1,0,0
3,5,0,1,0,0,2
-26,7,0,1,1,1,1
-11,4,0.0,0,0,0,0
-52,4,0.0,0,1,1,5
32,0,-0.33,0,0,-1,1
-81,3,0.17,0,1,0,0
100,1,-0.17,0,1,0,0
14,1,-0.14,0,0,0,0
31,1,0.0,0,1,-1,1
-102,2,0.5,0,0,0,0
-12,2,-1.0,0,1,0,0
104,7,1.0,0,1,0,2
130,2,-0.67,0,0,3,7
-4,7,0.67,0,1,3,5
10,1,1.0,0,0,0,0
22,6,-0.27,0,0,0,0
-33,5,0.0,0,0,0,0
-98,6,0.5,0,0,1,1
-14,6,0.4,0,1,1,1
-13,1,-0.03,0,0,0,2
-45,1,0.4,0,1,2,2
-16,3,-1.0,0,1,0,0
10,0,-0.5,0,1,1,3
88,2,0.0,0,1,0,2
54,6,0.67,0,0,0,0
-79,2,0,1,1,0,0
-5,4,0.38,0,0,0,2
63,4,0.33,0,0,-2,2
-104,5,0,1,0,1,1
12,6,-0.38,0,0,-1,7
-94,3,-0.5,0,1,1,1
-117,4,0.33,0,0,0,0
36,2,0.0,0,1,-1,1
13,1,-1.0,0,1,-1,1
-22,1,0.4,0,0,-1,1
54,1,-0.5,0,0,0,2
-3,1,0.02,0,0,-2,2
89,2,0.0,0,0,0,0
